Stimulus,Emg1,Emg2,Emg3,Emg4,Emg5,Emg6,Emg7,Emg8
0,-2,14,29,10,1,1,0,-2
0,0,3,-18,-6,-4,-4,-2,-4
0,-2,-8,-7,-13,-8,-4,-2,-1
0,1,1,-3,1,2,0,0,-1
0,3,-10,-12,-5,0,-1,-2,-1
0,0,18,53,27,6,1,2,4
0,-8,7,-35,-30,-16,-6,-4,-5
0,-3,-53,-21,-1,3,2,0,2
0,-3,23,7,-3,-4,-3,-2,-1
0,0,4,14,7,2,0,0,-2
0,7,1,-11,-8,0,-1,-1,0
0,-5,26,50,12,1,-1,-2,-2
0,7,-9,-19,-2,-3,-1,1,2
0,-12,-37,-5,-8,-4,-2,-2,-5
0,3,3,6,8,3,2,1,3
0,-2,-20,-6,-6,-3,-3,-5,-1
0,-2,-7,-8,-8,-2,0,-2,0
0,2,1,-8,-4,-3,-2,0,1
0,-3,-14,-4,-5,-2,0,-1,-3
0,7,21,14,30,12,5,4,4
0,-7,-9,0,-2,3,1,0,-3
0,2,4,-11,-9,-10,-7,-4,-1
0,-3,26,30,0,-4,-3,-4,-4
0,2,-6,-15,2,1,2,1,1
0,-4,-10,-11,-7,-5,-2,0,-1
0,1,-2,-8,-6,-2,-1,-3,-2
0,-3,-18,-8,1,-3,-3,-1,1
0,2,1,-7,-7,-5,-2,-1,-3
0,1,13,18,7,2,0,0,1
0,-3,-10,-4,-3,0,1,0,-1
0,-11,-37,-13,-13,-5,-4,-3,-5
0,7,63,5,9,6,5,5,2
0,-2,-29,-9,-3,-2,-1,-1,0
0,-3,-12,4,15,-5,-5,-4,0
0,2,2,-11,-17,13,4,2,3
0,0,7,-13,-12,-10,-5,-2,-2
0,-2,-24,7,12,7,5,3,-1
0,1,-4,0,0,-2,3,2,-1
0,-1,-17,0,24,11,1,-1,0
0,-2,-36,-2,-13,-6,-3,-3,1
0,0,15,17,13,1,-3,-3,-1
0,3,17,-37,-26,-4,1,-1,1
0,-5,-4,26,-6,-11,-4,-3,-3
0,-1,-3,-5,2,3,2,1,1
0,2,5,8,8,1,-1,1,-1
0,3,16,17,12,7,0,-2,1
0,-2,4,-17,-9,-12,-5,-1,-2
0,-1,4,16,7,0,1,1,0
0,2,38,13,-16,3,-1,0,-1
0,-3,-8,-8,4,14,11,8,0
0,3,9,15,16,2,-2,-3,1
0,-2,-12,-4,-3,-4,-6,-4,0
0,-2,-13,-12,-12,-13,-7,-6,-2
0,4,9,-3,0,-2,0,0,-1
0,0,-9,-1,1,3,2,4,1
0,2,8,2,-7,-4,-1,1,0
0,1,9,17,16,4,0,-2,1
0,-4,-23,-35,-27,-11,-4,-5,-2
0,-2,-5,0,7,-6,-2,-2,-1
0,2,4,-12,-5,6,6,2,0
0,1,8,2,4,3,0,2,1
0,-2,-6,10,2,-7,-9,-7,-1
0,2,13,-6,5,3,1,2,-2
0,-5,-2,5,-5,-4,-4,-2,-3
0,-1,-11,-11,2,8,3,3,-1
0,2,9,8,6,6,2,3,0
0,1,1,-4,-7,-9,-7,-6,-2
0,-3,-1,-3,-3,-7,-4,-4,-2
0,-2,-6,-7,-6,0,4,2,1
0,1,-3,2,10,7,3,5,1
0,0,5,3,-2,-1,-2,-2,-2
0,-1,-5,2,4,1,-4,-1,-3
0,0,3,-9,-16,-14,-5,-3,-1
0,1,0,3,8,1,-1,-1,-2
0,0,8,9,6,9,6,4,0
0,-3,-5,-3,-8,0,-1,-2,-2
0,-3,-5,-12,-9,-8,-6,-5,-4
0,0,5,4,-2,-6,-5,-5,-1
0,-2,-15,-17,-5,-1,1,0,-1
0,0,6,12,15,0,-1,1,0
0,-2,-7,-17,-16,4,3,2,-3
0,-1,6,8,-7,-8,-5,-4,-2
0,7,11,3,4,-3,1,2,2
0,-2,2,8,8,11,4,3,3
0,-10,-5,-1,0,-6,-4,-3,-2
0,-5,-4,-2,-1,0,-1,0,-5
0,0,4,-3,-9,-6,-6,-4,-2
0,4,6,-2,-6,-7,-5,-3,-2
0,-3,-15,3,9,8,7,3,-1
0,-9,-7,6,-2,4,-1,-2,-2
0,7,7,-1,-4,-3,-1,1,3
0,-7,-12,-3,-2,-5,0,-2,-4
0,-2,-3,-10,-1,-2,-4,-3,1
0,1,2,8,0,-3,-2,0,0
0,-3,1,0,-4,3,2,1,-2
0,-2,7,5,2,-1,-5,-2,-1
0,3,-11,-10,1,1,1,-1,0
0,0,1,2,1,1,0,1,1
0,-2,4,7,5,3,2,1,-2
0,-3,-6,-20,-1,-7,-3,-3,-3
0,1,-2,-10,-16,-5,-2,-2,-2
0,2,3,3,-2,-5,0,0,-1
0,-4,-4,0,-7,-4,-3,-2,-2
0,2,3,3,-2,-2,0,-2,-3
0,-5,11,4,8,2,0,-1,-2
0,2,-1,15,7,2,0,1,1
0,1,-9,-9,-2,-2,-3,-2,-1
0,-7,-14,-4,-12,-7,-3,-3,-4
0,5,15,9,0,-4,-4,-1,3
0,-2,-10,-10,-3,4,4,5,1
0,3,12,13,10,5,4,2,1
0,-4,-10,-9,-1,-2,-6,-3,-1
0,-1,-7,7,11,0,-1,-2,-3
0,7,34,15,-2,0,3,1,2
0,-4,-24,-14,0,-3,-3,-3,-2
0,9,27,-3,5,3,5,5,6
0,9,17,32,0,-1,-9,-7,2
0,-17,-60,-72,-15,-15,-6,-8,-7
0,-13,-28,-35,-19,4,4,2,-5
0,2,9,-1,-2,-3,0,1,1
0,9,8,12,14,4,4,2,2
0,1,9,9,-1,-3,-3,-2,0
0,-7,6,13,5,-3,-1,-2,2
0,0,-4,-3,-2,-1,-2,-3,-2
0,1,1,-12,-9,-1,-1,-2,-4
0,-4,-5,5,-1,4,4,5,0
0,-11,-5,-6,11,3,3,1,-3
0,0,0,1,-5,8,0,-1,-1
0,-6,-7,-7,-5,-5,-1,0,2
0,4,6,-4,-6,-3,-6,-5,-3
0,5,9,16,12,2,0,-1,1
0,-2,-7,-9,-13,-1,3,3,0
0,-3,-7,-4,4,7,5,2,0
0,1,-1,2,-6,-10,-10,-6,-1
0,2,3,4,7,5,5,2,0
0,3,-5,13,7,-1,-2,-2,1
0,-1,-2,-26,-3,1,2,2,-1
0,2,6,-4,-7,7,6,3,3
0,2,1,-7,-9,-8,-10,-7,0
0,-3,-17,0,2,-3,-4,-1,-2
0,-4,-17,9,2,-4,-2,-3,-1
0,-3,1,-5,-1,-3,-3,-2,-3
0,3,3,-3,-10,-6,-5,-5,-2
0,-2,-1,0,0,0,2,-1,-1
0,-1,0,-1,3,3,1,2,-2
0,1,2,2,6,5,1,1,1
0,2,2,2,2,6,5,3,-1
0,-9,-4,-2,-6,2,-1,-2,-2
0,1,-3,4,0,-6,-4,-2,-1
0,-2,9,6,-4,-3,-7,-6,-4
0,-1,12,26,14,10,-1,-1,0
0,-6,-30,-48,-10,2,8,4,-3
0,-2,7,9,5,-2,-4,1,2
0,16,6,-18,-7,-3,1,1,4
0,-13,4,14,-6,-9,-8,-7,-7
0,2,7,-1,6,1,-1,1,1
0,-3,15,-19,-8,1,1,-1,-2
0,-4,-54,-11,-1,0,1,0,-1
0,16,28,17,6,1,2,3,5
0,-6,-22,-28,-2,-1,-2,-3,-3
0,-4,2,-20,-11,-6,-5,-4,-4
0,-3,9,6,-1,-7,-4,-3,-1
0,-2,-2,-6,3,2,-2,-2,-3
0,4,16,29,-3,5,3,3,2
0,27,3,5,11,7,3,3,7
0,-13,9,13,15,12,8,5,1
0,-45,-40,-47,-29,-18,-9,-9,-16
0,9,11,6,0,-8,-5,-2,-4
0,-1,11,20,14,6,1,1,1
0,13,8,5,10,-3,-6,-8,-4
0,6,-2,13,10,11,5,7,7
0,14,5,-9,-1,-7,-2,2,7
0,16,14,-1,-3,2,3,6,5
0,21,5,0,-9,-16,-3,1,4
0,-24,-9,-15,-14,-3,-3,-7,-8
0,-69,-28,7,13,9,-10,-18,-26
0,44,16,20,15,0,10,11,17
0,-4,4,4,2,7,11,12,12
0,-41,-35,-24,-18,-18,-20,-26,-28
0,18,16,16,-5,-14,-9,-7,-3
0,20,8,-12,-13,-4,-2,2,8
0,8,28,24,18,27,17,12,7
0,-39,-13,-10,-8,-6,-4,-2,-8
0,-22,-8,4,5,-2,-2,-3,-2
0,-42,-14,-10,-17,-5,-8,-9,-16
0,34,4,7,9,3,1,3,6
0,41,7,-1,6,1,5,9,16
0,44,39,19,6,5,3,5,11
0,3,-21,-2,-7,-8,-2,0,6
0,-65,-27,1,-6,-10,-17,-22,-26
0,16,9,5,6,8,8,7,5
0,-1,-16,-31,-17,-7,-1,2,0
0,10,9,3,-1,-3,-3,-2,-1
0,7,3,10,-1,10,9,8,1
0,13,10,25,15,8,0,1,9
0,19,14,12,4,1,0,2,6
0,-12,-12,-24,-12,-6,-6,-6,-10
0,-18,-9,-4,-5,-8,-7,-7,-9
0,20,9,-6,-5,4,5,6,7
0,0,0,13,2,0,1,-2,1
0,-27,30,2,3,-2,-8,-8,-11
0,-6,-18,-22,-9,-6,-2,-1,-3
0,15,5,2,-4,-7,-2,0,4
0,-1,-5,-2,3,12,12,10,1
0,-15,-11,-5,1,-3,-4,-5,-2
0,8,-9,-14,-8,3,-1,-6,-2
0,16,3,5,-5,-9,-1,1,1
0,-13,-7,-2,-2,-2,-9,-8,-5
0,0,-7,12,6,5,8,3,1
0,6,-4,-14,0,0,2,5,4
0,0,-19,-5,-9,-3,-4,-4,1
0,6,-2,-2,2,0,-1,1,1
0,-9,-22,3,-3,1,-1,-3,-2
0,2,-10,-14,-9,-9,-6,-4,-2
0,-4,17,15,15,8,5,4,0
0,-1,4,-1,-4,7,7,3,-4
0,1,-2,-1,3,3,1,1,1
0,0,18,-10,-9,-9,-5,-3,-2
0,-5,10,8,-2,-3,-3,-1,-2
0,4,55,25,6,-4,-1,1,-1
0,-8,-20,-16,-3,0,0,1,-2
0,-8,-7,2,5,4,-3,-6,-5
0,12,14,-11,-5,-1,4,1,3
0,-4,-18,-11,-4,-6,-8,-6,0
0,1,11,25,5,5,5,2,-3
0,3,13,-1,6,3,1,4,1
0,3,-24,-5,3,0,-2,-2,2
0,-4,10,25,5,-1,-2,-3,-2
0,-13,-19,-28,-19,-11,-13,-6,-12
0,4,-12,4,0,-3,2,-12,3
0,5,14,8,6,5,6,6,3
0,-5,-8,-12,-5,-1,-1,-1,-1
0,3,4,25,13,2,1,-1,1
0,0,5,0,-16,-4,-7,0,1
0,-5,-5,-12,0,0,-1,0,-2
0,4,-4,-6,-7,-3,-1,-3,4
0,-2,1,-6,-4,-3,-4,-1,1
0,1,26,-2,15,4,0,1,-3
0,-2,20,0,-3,4,7,5,2
0,-1,-20,-7,9,3,3,4,1
0,0,8,5,-1,1,-3,-3,-3
0,-9,-17,-7,-11,-10,-5,-1,0
0,3,-5,-14,-12,-12,-10,-6,-3
0,1,24,8,15,5,2,2,0
0,-7,-8,10,-4,-1,4,-1,-2
0,3,-5,0,12,4,4,4,3
0,-4,9,4,-2,4,1,-1,-2
0,-4,-27,-19,-14,-11,-8,-3,-3
0,2,5,9,11,-4,-1,-2,1
0,-2,-3,4,3,7,6,6,1
0,2,14,-1,-1,-4,-3,1,-1
0,3,3,0,-11,-6,-3,-2,0
0,-5,-3,-2,9,0,0,0,1
0,-9,-20,2,1,6,1,-1,-8
0,7,1,-6,-2,2,1,1,4
0,-5,-9,-8,-6,-8,-5,-3,-4
0,-1,-15,-7,-12,-1,-3,-5,-3
0,2,5,2,6,-2,1,4,2
0,-10,-3,5,-2,6,4,0,-3
0,1,-12,-2,2,2,-2,-2,-4
0,-8,-3,-24,-6,-2,-4,-1,1
0,-5,10,8,-9,-14,-7,-3,-5
0,5,-6,6,2,1,-3,0,0
0,-3,8,7,-1,-2,1,-2,-3
0,1,6,-3,-6,5,5,2,3
0,3,-1,3,-2,-1,1,1,2
0,-2,-8,3,12,7,0,0,0
0,0,-10,-12,2,1,-1,0,1
0,1,14,3,0,0,0,0,-5
0,-3,-9,7,-8,-8,-6,-4,-1
0,0,-14,-11,-4,-2,-2,-3,-2
0,-1,-16,-6,0,4,3,5,4
0,0,-4,-4,-2,1,1,0,-1
0,3,8,0,2,-5,-5,-5,0
0,-4,-4,11,2,-7,-4,-3,-1
0,-2,1,-20,-11,-2,0,0,-2
0,2,15,10,14,4,5,5,2
0,-5,-2,-5,-16,-1,-2,0,-1
0,1,-10,-6,-8,-9,-6,-5,-1
0,-1,-3,-12,-3,-3,-2,0,2
0,-1,-4,13,7,-1,-3,-2,-2
0,-2,-13,-9,0,7,6,3,1
0,9,39,18,10,-3,-2,-1,0
0,2,4,2,-1,-1,-1,0,2
0,-4,-1,-4,-7,7,-1,-2,-3
0,3,15,3,1,-1,-3,-1,-1
0,-1,-1,-8,-1,-2,0,-1,0
0,0,6,14,4,3,2,-1,-3
0,-1,-15,-10,-7,-3,-3,-3,-2
0,-3,-2,-16,-6,-3,0,0,0
0,1,4,17,10,6,3,3,-2
0,-2,-3,-10,8,3,-2,-3,-1
0,0,-11,7,-3,-6,-3,-4,-2
0,-2,13,-3,-11,0,-2,-3,-5
0,-5,-21,-23,-8,0,0,1,1
0,-1,-5,-7,3,0,2,2,0
0,0,-1,5,3,3,1,1,1
0,-2,-5,5,5,-5,-6,-7,-2
0,-1,8,-11,-11,-5,0,-2,-3
0,1,-3,6,1,-1,-3,-1,0
0,-4,16,-4,-4,-1,1,-1,0
0,3,16,20,5,0,4,3,-1
0,-4,-14,-5,5,0,-2,-2,0
0,-4,-4,10,1,-3,-3,-4,-4
0,-1,-20,-20,-27,-15,-6,-3,-2
0,-2,-6,-16,9,6,2,0,-2
0,1,-9,-3,0,0,0,0,4
0,4,9,5,-14,-4,-2,1,1
0,-5,15,10,7,-3,-6,-3,-1
0,-3,-1,0,-21,-10,-1,-3,-3
0,-8,12,-1,4,2,1,-1,-3
0,-4,-14,-17,-5,3,3,1,-3
0,6,20,3,7,2,5,4,1
0,-3,-9,4,1,-1,-6,-1,2
0,-4,-11,10,-8,-6,-2,-4,-4
0,-1,-3,-6,7,9,1,1,-1
0,-1,-6,-4,-2,-4,-2,-1,1
0,2,1,0,9,2,-3,-2,-1
0,1,-4,10,-1,-1,1,2,0
0,-4,7,0,-9,-4,-1,-1,-3
0,2,-22,-13,1,1,1,-2,2
0,1,0,0,-4,-5,-6,-5,1
0,-2,-6,-7,0,-2,-2,-2,-2
0,-1,1,6,5,5,4,3,4
0,1,-5,7,4,3,-1,1,-2
0,-1,5,-4,3,-3,-1,-1,0
0,2,1,-7,-14,-1,-2,1,3
0,-7,-18,9,0,-4,-2,-2,-2
0,-4,-6,3,-2,-3,-1,-3,-1
0,-2,-8,-8,-1,-1,-1,-2,2
0,5,6,13,6,0,-1,-2,-3
0,4,-7,-6,-6,-1,-2,-3,-1
0,-5,-8,-4,-3,-2,1,0,-2
0,2,8,0,7,8,4,3,1
0,3,3,-3,6,1,0,0,3
0,6,4,-1,-4,-5,-2,-2,-1
0,-4,-12,-12,2,0,-1,-2,-1
0,2,3,7,4,4,0,2,0
0,-3,-6,-10,-10,-3,0,-1,-2
0,-3,3,5,1,-5,-6,-5,-2
0,-1,-6,4,0,-2,0,-2,-3
0,-1,2,0,7,5,2,1,0
0,0,-10,-2,-1,3,2,3,0
0,-2,0,2,4,-3,0,-1,0
0,0,14,5,7,5,-1,0,0
0,-3,-2,-2,-8,-6,-1,0,-1
0,-2,6,6,5,0,-3,-2,-1
0,-4,3,-2,-2,-2,-2,-1,-2
0,0,-7,2,-1,4,2,0,0
0,2,8,-8,-5,-4,-1,-1,-1
0,-1,-16,2,-5,-5,-2,-1,0
0,-1,14,-2,-3,-2,0,2,-2
0,-1,8,6,4,1,2,5,3
0,3,-15,-12,7,9,3,0,1
0,0,2,-9,-10,-6,-7,-3,-2
0,1,3,9,8,1,3,1,0
0,2,0,-6,-5,-6,-3,-3,-1
0,-3,-21,15,9,7,5,4,0
0,-1,-1,-5,-4,2,1,-1,-1
0,0,17,-4,-7,-4,-3,-3,-1
0,1,-11,-1,2,1,0,1,-3
0,-3,-10,-9,-9,-7,-5,-2,-1
0,-3,10,0,1,-3,-4,-3,-4
0,0,-4,8,4,5,3,4,1
0,-1,7,-13,-11,-8,-6,-5,-1
0,0,2,-1,0,1,-1,-3,-3
0,-3,-24,0,2,5,7,4,1
0,0,7,-5,-3,0,-1,2,2
0,4,7,-9,2,3,-1,0,1
0,0,1,14,-3,-9,-4,-3,-2
0,-3,10,-5,-9,-6,-4,-2,-1
0,-3,-1,4,-3,-4,-2,-3,-2
0,-3,-8,-5,-1,1,1,-3,-3
0,-2,4,0,3,-2,-2,-2,0
0,2,0,-5,-9,-4,0,0,-1
0,-2,-2,2,8,5,1,-2,-3
0,1,-1,6,-3,-2,1,2,2
0,-3,-3,-7,4,-4,-4,-4,-2
0,-1,0,-3,-1,-1,0,-2,0
0,-3,0,0,2,-1,0,0,-2
0,-2,-5,2,-4,-3,-1,-3,-2
0,-3,-6,-9,-6,1,-5,-2,-1
0,0,0,5,9,0,1,0,-3
0,3,-8,-11,-6,4,1,1,3
0,-2,-5,5,7,-2,-1,-2,0
0,-1,1,-3,-14,-4,-3,-1,-2
0,-1,-1,-4,-4,-4,-4,-2,-1
0,-1,-2,14,15,8,4,1,0
0,0,-11,-27,-11,-5,-2,-1,-2
0,-2,0,-14,-17,-7,-6,-5,-2
0,-2,5,1,2,-1,-3,-2,-1
0,-1,-9,-7,-8,-7,-2,-3,0
0,1,8,6,1,4,0,3,0
0,1,10,11,15,5,0,1,-1
0,4,8,-3,-11,-1,-3,-1,1
0,-5,-9,-8,-2,-2,0,-1,-3
0,1,4,5,-5,-1,-1,-3,-1
0,-5,-2,0,9,2,4,2,-3
0,-2,0,10,4,-1,0,-2,1
0,-2,-5,-3,2,-1,-1,-2,0
0,0,11,0,-5,-8,-5,-1,-1
0,0,3,-1,-6,-3,-1,-4,-2
0,-2,-5,2,13,9,3,1,-1
0,-1,2,-3,-15,-6,-3,-1,-1
0,-2,-5,0,6,5,2,2,1
0,0,-2,5,-1,0,-2,0,1
0,1,15,-4,-4,-8,-2,-1,-2
0,-1,12,10,6,4,1,-1,-3
0,5,8,18,6,3,0,0,-2
0,0,2,-4,-3,1,0,2,3
0,-3,-9,0,-3,-2,-2,-2,-2
0,2,2,-3,-1,-5,-1,-1,1
0,-2,3,-2,-7,-5,-3,-3,-2
0,3,-9,-1,0,-1,1,1,-1
0,1,-1,1,5,2,0,1,0
0,1,-9,-4,-7,-2,-1,0,-1
0,-4,0,1,3,5,3,3,1
0,-1,-10,-7,-8,-2,-1,-1,-2
0,-3,-7,1,6,0,-5,-3,-2
0,-3,-2,-4,-3,-1,1,2,1
0,0,3,1,-1,0,0,-1,0
0,-2,4,-2,0,-2,-1,0,3
0,-1,0,0,-1,-2,1,-1,-2
0,-2,-1,6,3,3,-1,-3,-3
0,-2,8,-1,-1,1,2,0,-1
0,-2,0,7,1,-2,-2,-2,0
0,-4,-20,-13,-5,4,-1,-2,-1
0,-1,-15,-7,-3,-9,-7,-3,0
0,3,22,7,6,2,1,1,2
0,2,21,15,-4,1,3,1,0
0,-3,-25,-19,1,5,-1,1,2
0,-2,6,6,3,-2,-1,-2,-2
0,-2,1,1,4,-3,-6,-4,-2
0,-2,-9,2,0,0,2,0,0
0,0,7,-4,-6,-1,-1,0,0
0,1,4,3,6,6,0,0,-1
0,3,-30,-6,0,-3,-2,-4,-1
0,0,7,1,3,4,1,1,-1
0,0,2,0,-7,-3,-1,0,-1
0,-3,-9,-9,-2,-3,-3,-3,-2
0,1,-4,-2,-6,-6,-2,-1,2
0,1,2,0,11,9,6,4,0
0,-1,-10,-1,-5,-2,-1,-4,0
0,4,14,7,2,-2,-1,0,-1
0,-9,-17,-13,-15,-9,-4,-2,-3
0,1,-2,1,3,-1,-2,-2,-1
0,-6,18,9,8,6,6,4,0
0,2,1,-8,0,0,0,0,2
0,-3,-8,-6,-8,-4,0,-2,-2
0,-1,-3,3,-1,-6,-5,-3,-2
0,-1,-13,-17,-6,-9,-4,-3,-2
0,-8,-37,-7,-2,8,2,0,-3
0,-4,-6,-8,-13,-3,2,3,2
0,1,-2,1,6,-2,-3,-1,-1
0,4,3,-14,-14,2,0,-1,-1
0,4,2,6,7,-1,-2,0,0
0,-1,6,4,4,2,-3,-5,-2
0,-1,-1,-7,-10,-5,-2,-1,0
0,-2,-1,18,7,0,1,0,-2
0,0,9,7,17,7,3,4,1
0,2,10,-7,-19,-2,-2,-2,-1
0,0,-3,-7,-6,-3,-1,-2,1
0,-1,2,6,2,-3,-3,-3,0
0,-1,5,3,0,1,3,2,-1
0,0,-2,-6,7,-1,0,0,1
0,-2,4,-2,-2,-1,0,-3,-2
0,2,5,1,0,-2,0,-1,0
0,-1,-1,2,-6,-1,-3,-1,1
0,0,3,0,6,3,0,1,-2
0,-2,-8,-2,-5,-2,-1,0,1
0,2,31,17,9,2,3,2,1
0,-2,0,0,1,-2,-2,-1,-1
0,1,5,-2,-2,-6,-3,-2,-3
0,0,-5,2,-6,-4,-6,-5,-3
0,1,-11,5,11,5,3,0,-4
0,-1,1,-8,-9,-2,-1,1,1
0,-1,14,2,0,-1,0,1,-1
0,1,-2,2,6,5,1,1,1
0,-1,-10,-3,3,1,-3,-3,0
0,0,4,-3,0,-7,-6,-5,-2
0,-2,-3,-1,-6,7,6,2,-3
0,-1,0,1,4,1,1,2,0
0,-3,-2,-7,-10,-4,-4,-3,-2
0,-1,15,-2,-3,-2,1,-2,-1
0,-3,-10,2,2,-2,-2,0,0
0,-2,-1,-3,-3,-3,-2,0,-1
0,3,12,0,5,0,0,1,1
0,-4,-20,-11,-9,-4,0,0,0
0,-1,-12,3,8,2,0,-2,-2
0,0,8,3,1,1,1,-3,-1
0,0,-7,-8,1,-2,-1,2,-1
0,-1,0,-6,-9,0,-1,-2,-2
0,1,-2,0,6,3,2,2,1
0,0,7,17,14,2,0,-1,0
0,-4,-9,-18,-16,-5,-6,-6,-3
0,0,7,7,-7,-6,1,1,1
0,1,-2,1,7,9,5,4,3
0,-1,2,-15,-7,-7,-4,-3,-1
0,-4,-42,8,2,2,0,-2,0
0,0,2,0,5,0,-1,0,-2
0,0,5,7,-1,-9,-8,-5,-1
0,-1,-8,-6,-7,0,0,1,0
0,1,16,5,7,8,5,4,1
0,0,-9,-4,1,1,0,-1,-1
0,-2,-3,2,-1,-4,-1,-2,-3
0,-1,0,-7,-3,-1,-3,-3,0
0,0,6,2,-4,-5,-3,-1,-1
0,-1,-1,-5,-3,0,-1,-2,-1
0,-1,1,2,3,1,-1,-1,-1
0,1,9,6,-2,0,2,0,-1
0,-2,-9,-10,-4,-4,-3,-3,-1
0,2,-1,8,1,-2,1,1,-1
0,-2,-4,8,0,-4,-2,-1,0
0,-5,-20,-16,2,3,0,0,-3
0,0,4,0,5,0,-1,-1,-3
0,-1,-18,-8,-12,-4,-3,-1,-2
0,1,5,2,3,5,-1,-2,-2
0,1,8,9,7,3,5,4,-2
0,1,3,3,0,-3,-2,-1,-1
0,0,0,-8,-1,0,0,-1,0
0,3,9,5,0,-4,-4,0,1
0,-1,-1,1,3,4,2,0,0
0,-2,6,2,0,-4,-2,0,0
0,1,16,8,5,3,1,-1,-1
0,-1,-18,-13,-7,-2,0,-1,3
0,-3,1,4,-2,-5,-4,-4,-1
0,0,-6,-6,-1,6,4,3,0
0,-6,-6,5,-1,-4,-3,-3,-2
0,-1,19,7,9,-1,-1,-3,-2
0,0,-19,-26,-17,-2,-4,-1,0
0,0,7,13,-2,2,2,1,0
0,0,-1,-10,-5,-5,-4,0,-1
0,-3,13,1,-6,-5,-4,-2,-1
0,-2,-15,5,3,9,3,2,0
0,0,3,4,-3,-4,-3,-3,0
0,-3,9,-8,0,-3,-2,-3,-1
0,4,-2,-3,5,10,8,6,4
0,-1,-2,-2,6,-1,-4,-4,-1
0,1,5,5,-8,-8,-4,-3,-1
0,0,-6,-3,5,5,3,0,-1
0,-3,-5,-3,-6,-4,-3,-2,-4
0,-3,1,1,0,2,3,2,0
0,-1,-4,1,9,2,0,0,-2
0,0,-7,-3,-3,2,0,-2,1
0,-3,-10,-10,-12,-6,-3,-3,-3
0,-1,4,10,0,-6,-7,-6,-4
0,-1,-3,-11,-5,1,2,2,2
0,-1,6,9,5,0,-1,0,-3
0,-2,-8,-9,-2,2,-3,1,-1
0,0,11,0,-7,-7,-3,-2,0
0,2,-5,-8,-7,-4,-3,-2,0
0,-4,4,35,10,3,-1,-1,-2
0,0,7,-1,15,7,3,1,-1
0,4,-1,-1,-16,-8,-2,0,-1
0,-3,0,-11,3,-1,-3,-3,-2
0,2,4,-9,-8,0,3,2,2
0,-1,-5,6,-7,-12,-5,-3,-1
0,0,13,3,2,8,2,2,-1
0,-5,13,15,15,7,0,1,-3
0,2,-6,-14,-10,-4,-2,-1,1
0,-2,10,-2,-6,-3,-2,-1,-1
0,-3,-16,-7,-3,-7,-4,-2,2
0,-2,-14,-10,0,-1,0,-2,-1
0,-1,12,4,7,0,-2,0,0
0,1,-9,-3,-1,5,5,0,0
